Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_OffCourse,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_OffCourse,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_OffCourse,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_OffCourse,Run4_AdjTime,BestTime,Score
71,93,York College of Pa,91.689,,1,111.689,83.370,1,,85.370,88.769,1,,90.769,82.546,,,82.546,82.546,7.5
71,63,Clarkson University,78.853,2,,82.853,72.618,1,2,114.618,72.765,,1,92.765,71.078,,2,111.078,82.853,7.5
71,61,Univ of Illinois - Chicago,95.585,,1,115.585,82.907,,,82.907,,,,DNA,,,,DNA,82.907,7.5
71,122,Rutgers Univ,66.041,,2,106.041,63.260,,1,83.260,70.572,3,1,96.572,75.385,1,2,117.385,83.260,7.5
71,121,Concordia University,69.632,,1,89.632,63.758,1,1,85.758,,,,DNA,,,,DNA,85.758,7.5
71,102,North Carolina State Univ - Raleigh,69.567,,1,89.567,67.451,,1,87.451,61.236,1,3,123.236,,,,DNA,87.451,7.5
71,92,California State Univ - Long Beach,107.890,1,,109.890,79.682,2,1,103.682,63.563,3,1,89.563,60.627,5,1,90.627,89.563,7.5
71,74,Cegep du Vieux - Montreal,,,,,70.489,,1,90.489,76.847,,1,96.847,,,,DNA,90.489,7.5
71,54,Florida Inst of Tech,,,,,72.006,,1,92.006,93.331,1,,95.331,75.931,,1,95.931,92.006,7.5
71,68,Univ of Alabama - Tuscaloosa,87.406,,1,107.406,90.505,1,1,112.505,,,,,,,,DNA,107.406,7.5
,18,UAS Esslingen,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,19,Univ of Cincinnati,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,24,Universidad Central de Venezuela,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,27,US Air Force Academy,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,29,Universidad Fermin Toro,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,30,Brown Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,33,Yeungnam Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,40,Kumoh National Institute of Technology,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,51,Univ of Central Florida,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,58,Lawrence Technological Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,67,Washington Univ - St Louis,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,69,Universidad Iberoamericana,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,70,Univ of Hartford,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,71,Florida International Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,72,Univ of Utah,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,83,Recinto Univ De Mayaguez,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,89,Penn State Univ - University Park,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,91,Bits Pilani-Dubai,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,95,Univ of Kentucky,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,97,Lakehead Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,104,South Dakota Sch of Mines & Tech,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,106,North Dakota State Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,107,American Univ of Sharjah,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,109,Northern Illinois Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,110,Temple Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,115,Ryerson Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,117,Tennessee Tech Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,119,Washington State Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,123,MADI State Tech Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,125,Northwestern Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
