Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17,Lap18,Lap19,Lap20,Lap21,Lap22,Lap23,Lap24,Lap25,Lap26,Lap27,Lap28,Lap29,Lap30,Lap31
Centro Universitario Da FEI,13,65.440,65.750,63.119,63.561,64.533,64.050,63.041,65.217,61.397,61.588,61.262,65.964,62.078,60.864,DC,68.525,65.759,69.278,66.048,63.783,63.049,63.179,63.251,61.909,,,,,,,1472.645
US Naval Academy,15,80.521,73.534,69.681,68.435,67.856,68.961,77.906,72.956,,,,,,,,,,,,,,,,,,,,,,,579.850
US Air Force Academy,16,78.719,81.508,74.639,73.860,73.746,73.576,76.891,73.455,,,,,,,,,,,,,,,,,,,,,,,606.394
Universidad Simon Bolivar,17,66.453,63.830,67.466,62.198,59.848,60.000,60.641,59.949,58.398,57.376,61.682,62.203,57.745,59.126,DC,66.456,62.252,59.551,59.620,57.425,57.754,58.686,61.225,59.917,60.692,59.775,59.229,61.351,59.137,,1699.985
Dalhousie Univ,18,85.418,70.510,82.238,117.781,74.861,71.081,66.641,66.425,69.906,81.300,,,,,,,,,,,,,,,,,,,,,786.161
Northwestern Univ,19,72.558,67.638,67.511,67.837,69.184,69.314,68.722,77.167,65.561,65.633,64.666,82.959,65.571,72.602,DC,72.440,107.709,113.790,74.419,98.476,,,,,,,,,,,1443.757
Oxford Brookes Univ,20,61.812,60.040,60.164,60.926,59.575,58.580,61.485,60.960,60.917,61.368,62.183,61.011,60.507,59.730,,,,,,,,,,,,,,,,,849.258
Univ of Evansville,22,63.337,61.238,64.003,60.991,64.616,63.430,64.862,64.663,62.201,61.843,64.003,61.506,60.289,63.024,DC,72.405,69.527,68.670,72.117,,,,,,,,,,,,1162.725
Georgia Institute of Technology,23,77.999,73.260,75.932,75.730,73.158,73.593,75.394,74.555,74.943,77.015,75.772,75.521,76.497,77.616,DC,74.914,67.590,68.593,66.515,64.676,65.492,66.638,83.622,,,,,,,,1615.025
Karlsruhe Inst of Tech,24,63.189,58.092,55.710,54.705,55.518,56.597,54.053,54.443,54.327,53.661,53.473,54.829,56.219,56.076,,,,,,,,,,,,,,,,,780.892
